key,env,type,default,required,range_condition,consumer,profile_capability,restart,secret,symptom,check,expected,rollback,source_path
cpf.messaging.rabbitmq.routing-key,CPF_MESSAGING_RABBITMQ_ROUTING_KEY,String,#,enabled=true,broker-valid,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
cpf.messaging.rabbitmq.durable,CPF_MESSAGING_RABBITMQ_DURABLE,Boolean,true,아니오,true/false,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
cpf.messaging.rabbitmq.quorum,CPF_MESSAGING_RABBITMQ_QUORUM,Boolean,true,아니오,true/false,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
cpf.messaging.rabbitmq.prefetch,CPF_MESSAGING_RABBITMQ_PREFETCH,Integer,50,enabled=true,>=1,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
cpf.messaging.rabbitmq.concurrency,CPF_MESSAGING_RABBITMQ_CONCURRENCY,Integer,1,enabled=true,>=1,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
cpf.messaging.rabbitmq.max-payload-bytes,CPF_MESSAGING_RABBITMQ_MAX_PAYLOAD_BYTES,Integer,1048576,enabled=true,>=1,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
cpf.messaging.rabbitmq.confirm-timeout,CPF_MESSAGING_RABBITMQ_CONFIRM_TIMEOUT,Duration,10s,enabled=true,positive,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
cpf.messaging.reliability.enabled,CPF_MESSAGING_RELIABILITY_ENABLED,Boolean,true,아니오,true/false,CpfMessagingReliabilityProperties,messaging reliability,필요,아니오,Outbox/Inbox/DLQ schema·lease/replay 오류,cpfBrokerReliabilityHealthIndicator + replay/reconcile test,outbox/inbox/dlq 존재·lease/reconcile 정상,이전 값 복원; schema-required 우회 금지,cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfMessagingReliabilityProperties.java
cpf.messaging.reliability.schema-required,CPF_MESSAGING_RELIABILITY_SCHEMA_REQUIRED,Boolean,true,enabled=true,true/false,CpfMessagingReliabilityProperties,messaging reliability,필요,아니오,Outbox/Inbox/DLQ schema·lease/replay 오류,cpfBrokerReliabilityHealthIndicator + replay/reconcile test,outbox/inbox/dlq 존재·lease/reconcile 정상,이전 값 복원; schema-required 우회 금지,cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfMessagingReliabilityProperties.java
cpf.messaging.reliability.claim-limit,CPF_MESSAGING_RELIABILITY_CLAIM_LIMIT,Integer,100,enabled=true,1..1000,CpfMessagingReliabilityProperties,messaging reliability,필요,아니오,Outbox/Inbox/DLQ schema·lease/replay 오류,cpfBrokerReliabilityHealthIndicator + replay/reconcile test,outbox/inbox/dlq 존재·lease/reconcile 정상,이전 값 복원; schema-required 우회 금지,cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfMessagingReliabilityProperties.java
cpf.messaging.reliability.lease,CPF_MESSAGING_RELIABILITY_LEASE,Duration,30s,enabled=true,positive,CpfMessagingReliabilityProperties,messaging reliability,필요,아니오,Outbox/Inbox/DLQ schema·lease/replay 오류,cpfBrokerReliabilityHealthIndicator + replay/reconcile test,outbox/inbox/dlq 존재·lease/reconcile 정상,이전 값 복원; schema-required 우회 금지,cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfMessagingReliabilityProperties.java
cpf.messaging.reliability.max-replay-batch,CPF_MESSAGING_RELIABILITY_MAX_REPLAY_BATCH,Integer,500,enabled=true,1..5000,CpfMessagingReliabilityProperties,messaging reliability,필요,아니오,Outbox/Inbox/DLQ schema·lease/replay 오류,cpfBrokerReliabilityHealthIndicator + replay/reconcile test,outbox/inbox/dlq 존재·lease/reconcile 정상,이전 값 복원; schema-required 우회 금지,cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfMessagingReliabilityProperties.java
cpf.messaging.reliability.publisher-delay,CPF_MESSAGING_RELIABILITY_PUBLISHER_DELAY,Duration,1s,enabled=true,positive,CpfMessagingReliabilityProperties,messaging reliability,필요,아니오,Outbox/Inbox/DLQ schema·lease/replay 오류,cpfBrokerReliabilityHealthIndicator + replay/reconcile test,outbox/inbox/dlq 존재·lease/reconcile 정상,이전 값 복원; schema-required 우회 금지,cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfMessagingReliabilityProperties.java
cpf.messaging.reliability.unknown-reconcile-delay,CPF_MESSAGING_RELIABILITY_UNKNOWN_RECONCILE_DELAY,Duration,30s,enabled=true,positive,CpfMessagingReliabilityProperties,messaging reliability,필요,아니오,Outbox/Inbox/DLQ schema·lease/replay 오류,cpfBrokerReliabilityHealthIndicator + replay/reconcile test,outbox/inbox/dlq 존재·lease/reconcile 정상,이전 값 복원; schema-required 우회 금지,cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfMessagingReliabilityProperties.java
cpf.notification.dispatch.enabled,CPF_NOTIFICATION_DISPATCH_ENABLED,Boolean,false,아니오,true/false,CpfNotificationProperties,notification dispatch,필요,아니오,worker lease/retry/reconcile 오류,notification health + provider status,outbox/attempt/provider 상태 종결,이전 값 복원,cpf-starters/notification/dispatch/src/main/java/com/cpf/starter/notification/dispatch/CpfNotificationProperties.java
cpf.notification.dispatch.worker-id,CPF_NOTIFICATION_DISPATCH_WORKER_ID,String,cpf-notification-worker,enabled=true,non-blank,CpfNotificationProperties,notification dispatch,필요,아니오,worker lease/retry/reconcile 오류,notification health + provider status,outbox/attempt/provider 상태 종결,이전 값 복원,cpf-starters/notification/dispatch/src/main/java/com/cpf/starter/notification/dispatch/CpfNotificationProperties.java
cpf.notification.dispatch.batch-size,CPF_NOTIFICATION_DISPATCH_BATCH_SIZE,Integer,100,enabled=true,1..500,CpfNotificationProperties,notification dispatch,필요,아니오,worker lease/retry/reconcile 오류,notification health + provider status,outbox/attempt/provider 상태 종결,이전 값 복원,cpf-starters/notification/dispatch/src/main/java/com/cpf/starter/notification/dispatch/CpfNotificationProperties.java
cpf.notification.dispatch.lease-duration,CPF_NOTIFICATION_DISPATCH_LEASE_DURATION,Duration,30s,enabled=true,positive,CpfNotificationProperties,notification dispatch,필요,아니오,worker lease/retry/reconcile 오류,notification health + provider status,outbox/attempt/provider 상태 종결,이전 값 복원,cpf-starters/notification/dispatch/src/main/java/com/cpf/starter/notification/dispatch/CpfNotificationProperties.java
cpf.notification.dispatch.retry-delay,CPF_NOTIFICATION_DISPATCH_RETRY_DELAY,Duration,30s,enabled=true,positive,CpfNotificationProperties,notification dispatch,필요,아니오,worker lease/retry/reconcile 오류,notification health + provider status,outbox/attempt/provider 상태 종결,이전 값 복원,cpf-starters/notification/dispatch/src/main/java/com/cpf/starter/notification/dispatch/CpfNotificationProperties.java
cpf.notification.dispatch.unknown-reconcile-delay,CPF_NOTIFICATION_DISPATCH_UNKNOWN_RECONCILE_DELAY,Duration,1m,enabled=true,positive,CpfNotificationProperties,notification dispatch,필요,아니오,worker lease/retry/reconcile 오류,notification health + provider status,outbox/attempt/provider 상태 종결,이전 값 복원,cpf-starters/notification/dispatch/src/main/java/com/cpf/starter/notification/dispatch/CpfNotificationProperties.java
cpf.notification.email.enabled,CPF_NOTIFICATION_EMAIL_ENABLED,Boolean,false,아니오,true/false,CpfEmailNotificationAutoConfiguration,notification:email,필요,아니오,Email Provider 미등록/오발송,notification health/provider status,EMAIL provider UP,false 또는 이전 값 복원,cpf-starters/notification/email/src/main/java/com/cpf/starter/notification/email/CpfEmailNotificationAutoConfiguration.java
cpf.notification.email.from,CPF_NOTIFICATION_EMAIL_FROM,String,없음,email.enabled=true,valid sender address,CpfEmailNotificationAutoConfiguration,notification:email,필요,아니오,기동 시 requiredProperty 실패,send mock/health,승인 발신자 사용,이전 from 복원,cpf-starters/notification/email/src/main/java/com/cpf/starter/notification/email/CpfEmailNotificationAutoConfiguration.java
cpf.channel-policy.startup-load-enabled,CPF_CHANNEL_POLICY_STARTUP_LOAD_ENABLED,Boolean,true,아니오,true/false,CpfChannelPolicyService,platform-operations/channel-registry,필요,아니오,채널 정책 초기 Load 누락,channel registry query,등록 정책 snapshot 로드,이전 값 복원,cpf-starters/platform-operations/channel-registry-jdbc/src/main/java/com/cpf/starter/channel/jdbc/CpfChannelRegistryJdbcAutoConfiguration.java
cpf.platform-operations.feature-flag.enabled,CPF_PLATFORM_OPERATIONS_FEATURE_FLAG_ENABLED,Boolean,false,아니오,true/false,CpfFeatureFlagAutoConfiguration,platform-operations/feature-flag,필요,아니오,Feature Flag runtime 미등록,feature flag operation/DB audit,JDBC state/audit + runtime applier 등록,false 또는 이전 snapshot 복원,cpf-starters/platform-operations/feature-flag-openfeature/src/main/java/com/cpf/starter/platform/operations/feature/flag/openfeature/internal/CpfFeatureFlagAutoConfiguration.java
cpf.platform-operations.otlp.enabled,CPF_PLATFORM_OPERATIONS_OTLP_ENABLED,Boolean,false,아니오,true/false,CpfOtlpProperties,observability:otlp,필요,아니오,OTLP exporter 미등록/기동 오류,tracing startup/export check,Exporter/TracerProvider 생성,false 또는 이전 값 복원,cpf-starters/platform-operations/otlp/src/main/java/com/cpf/starter/platform/operations/otlp/CpfOtlpProperties.java
cpf.platform-operations.otlp.endpoint,CPF_PLATFORM_OPERATIONS_OTLP_ENDPOINT,URI,없음,otlp.enabled=true,non-blank gRPC endpoint,CpfOtlpProperties,observability:otlp,필요,아니오,기동 시 endpoint required,collector connectivity,span export 성공,이전 endpoint 복원,cpf-starters/platform-operations/otlp/src/main/java/com/cpf/starter/platform/operations/otlp/CpfOtlpProperties.java
cpf.platform-operations.otlp.timeout,CPF_PLATFORM_OPERATIONS_OTLP_TIMEOUT,Duration,10s,otlp.enabled=true,positive,CpfOtlpProperties,observability:otlp,필요,아니오,export timeout,collector fault test,timeout 내 결과 분류,이전 timeout 복원,cpf-starters/platform-operations/otlp/src/main/java/com/cpf/starter/platform/operations/otlp/CpfOtlpProperties.java
cpf.platform-operations.otlp.sample-probability,CPF_PLATFORM_OPERATIONS_OTLP_SAMPLE_PROBABILITY,Double,1.0,otlp.enabled=true,0..1,CpfOtlpProperties,observability:otlp,필요,아니오,기동 검증 실패/과다 또는 부족 sampling,trace sample check,설정 비율 적용,이전 비율 복원,cpf-starters/platform-operations/otlp/src/main/java/com/cpf/starter/platform/operations/otlp/CpfOtlpProperties.java
cpf.log-policy.cache.ttl-seconds,CPF_LOG_POLICY_CACHE_TTL_SECONDS,Integer,30,아니오,1..3600,LogPolicyCache,platform-operations/observability,필요,아니오,기동 검증 실패/정책 반영 지연,log policy runtime status,TTL 내 cache refresh,이전 값 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.cache.max-entries,CPF_LOG_POLICY_CACHE_MAX_ENTRIES,Integer,4096,아니오,1..100000,LogPolicyCache,platform-operations/observability,필요,아니오,기동 검증 실패/capacity exhausted,log policy runtime status,bounded cache,이전 값 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.file-log-level,CPF_LOG_POLICY_DEFAULT_FILE_LOG_LEVEL,String,INFO,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.db-log-enabled,CPF_LOG_POLICY_DEFAULT_DB_LOG_ENABLED,Boolean,CPF default,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.query-capture-mode,CPF_LOG_POLICY_DEFAULT_QUERY_CAPTURE_MODE,Enum,CPF default,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.request-header-capture-mode,CPF_LOG_POLICY_DEFAULT_REQUEST_HEADER_CAPTURE_MODE,Enum,CPF default,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.response-header-capture-mode,CPF_LOG_POLICY_DEFAULT_RESPONSE_HEADER_CAPTURE_MODE,Enum,CPF default,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.request-body-capture-mode,CPF_LOG_POLICY_DEFAULT_REQUEST_BODY_CAPTURE_MODE,Enum,CPF default,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.request-body-save,CPF_LOG_POLICY_DEFAULT_REQUEST_BODY_SAVE,Boolean,legacy compatibility,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.response-body-capture-mode,CPF_LOG_POLICY_DEFAULT_RESPONSE_BODY_CAPTURE_MODE,Enum,CPF default,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.response-body-save,CPF_LOG_POLICY_DEFAULT_RESPONSE_BODY_SAVE,Boolean,legacy compatibility,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.error-stack-capture-mode,CPF_LOG_POLICY_DEFAULT_ERROR_STACK_CAPTURE_MODE,Enum,SUMMARY/default,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.error-stack-save,CPF_LOG_POLICY_DEFAULT_ERROR_STACK_SAVE,Boolean,legacy compatibility,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.query-allowlist,CPF_LOG_POLICY_DEFAULT_QUERY_ALLOWLIST,CSV,[],아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.header-allowlist,CPF_LOG_POLICY_DEFAULT_HEADER_ALLOWLIST,CSV,CPF default,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.field-allowlist,CPF_LOG_POLICY_DEFAULT_FIELD_ALLOWLIST,CSV,[],아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.max-query-bytes,CPF_LOG_POLICY_DEFAULT_MAX_QUERY_BYTES,Integer,4096,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.max-header-bytes,CPF_LOG_POLICY_DEFAULT_MAX_HEADER_BYTES,Integer,8192,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.max-request-body-bytes,CPF_LOG_POLICY_DEFAULT_MAX_REQUEST_BODY_BYTES,Integer,65536,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.max-response-body-bytes,CPF_LOG_POLICY_DEFAULT_MAX_RESPONSE_BODY_BYTES,Integer,65536,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.max-stack-bytes,CPF_LOG_POLICY_DEFAULT_MAX_STACK_BYTES,Integer,32768,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.log-policy.default.masking-policy-key,CPF_LOG_POLICY_DEFAULT_MASKING_POLICY_KEY,String,DEFAULT,아니오,capture mode/size/allowlist 정책,LogPolicyCache,platform-operations/observability,필요 또는 Runtime Control 정책으로 별도 적용,masking-policy 자체는 민감정보 아님,과다 수집/PII 노출/정책 불일치,ADM Log Policy + runtime status,capture/masking/bound 정상,이전 정책 snapshot/LKG 복원,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java
cpf.runtime.control.base-url,CPF_RUNTIME_CONTROL_BASE_URL,URI,없음,Remote Control Plane 사용 시,non-blank,CpfRuntimeControlAutoConfiguration,platform-operations/runtime-control,대부분 필요; Runtime hot-apply payload는 별도,아니오,등록/lease/ACK/apply/reconcile 실패,ADM runtime-control/instance/ack 상태,instance registration + ACK/NACK + reconcile 정상,LKG/이전 config snapshot 또는 agent disable,cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java
cpf.runtime.control.agent-token,CPF_RUNTIME_CONTROL_AGENT_TOKEN,Secret,없음,base-url non-blank,non-blank,CpfRuntimeControlAutoConfiguration,platform-operations/runtime-control,대부분 필요; Runtime hot-apply payload는 별도,예,등록/lease/ACK/apply/reconcile 실패,ADM runtime-control/instance/ack 상태,instance registration + ACK/NACK + reconcile 정상,LKG/이전 config snapshot 또는 agent disable,cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java
cpf.runtime.control.controller-id,CPF_RUNTIME_CONTROL_CONTROLLER_ID,String,runtime.instance-id 또는 CPF-CONTROLLER,Local controller,non-blank,CpfRuntimeControlAutoConfiguration,platform-operations/runtime-control,대부분 필요; Runtime hot-apply payload는 별도,아니오,등록/lease/ACK/apply/reconcile 실패,ADM runtime-control/instance/ack 상태,instance registration + ACK/NACK + reconcile 정상,LKG/이전 config snapshot 또는 agent disable,cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java
cpf.runtime.control.controller.lease-seconds,CPF_RUNTIME_CONTROL_CONTROLLER_LEASE_SECONDS,Integer,30,Local controller,positive,CpfRuntimeControlAutoConfiguration,platform-operations/runtime-control,대부분 필요; Runtime hot-apply payload는 별도,아니오,등록/lease/ACK/apply/reconcile 실패,ADM runtime-control/instance/ack 상태,instance registration + ACK/NACK + reconcile 정상,LKG/이전 config snapshot 또는 agent disable,cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java
cpf.runtime.control.controller.ack-timeout-seconds,CPF_RUNTIME_CONTROL_CONTROLLER_ACK_TIMEOUT_SECONDS,Integer,60,Local controller,positive,CpfRuntimeControlAutoConfiguration,platform-operations/runtime-control,대부분 필요; Runtime hot-apply payload는 별도,아니오,등록/lease/ACK/apply/reconcile 실패,ADM runtime-control/instance/ack 상태,instance registration + ACK/NACK + reconcile 정상,LKG/이전 config snapshot 또는 agent disable,cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java
cpf.runtime.control.controller.auto-rollback-allowlist,CPF_RUNTIME_CONTROL_CONTROLLER_AUTO_ROLLBACK_ALLOWLIST,CSV,[],아니오,change type allowlist,CpfRuntimeControlAutoConfiguration,platform-operations/runtime-control,대부분 필요; Runtime hot-apply payload는 별도,아니오,등록/lease/ACK/apply/reconcile 실패,ADM runtime-control/instance/ack 상태,instance registration + ACK/NACK + reconcile 정상,LKG/이전 config snapshot 또는 agent disable,cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java
cpf.runtime.control.controller.auto-rollback-max-attempts,CPF_RUNTIME_CONTROL_CONTROLLER_AUTO_ROLLBACK_MAX_ATTEMPTS,Integer,3,auto rollback 사용 시,positive,CpfRuntimeControlAutoConfiguration,platform-operations/runtime-control,대부분 필요; Runtime hot-apply payload는 별도,아니오,등록/lease/ACK/apply/reconcile 실패,ADM runtime-control/instance/ack 상태,instance registration + ACK/NACK + reconcile 정상,LKG/이전 config snapshot 또는 agent disable,cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java
cpf.runtime.control.controller.auto-rollback-max-per-run,CPF_RUNTIME_CONTROL_CONTROLLER_AUTO_ROLLBACK_MAX_PER_RUN,Integer,1,auto rollback 사용 시,positive,CpfRuntimeControlAutoConfiguration,platform-operations/runtime-control,대부분 필요; Runtime hot-apply payload는 별도,아니오,등록/lease/ACK/apply/reconcile 실패,ADM runtime-control/instance/ack 상태,instance registration + ACK/NACK + reconcile 정상,LKG/이전 config snapshot 또는 agent disable,cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java
cpf.runtime.control.controller.auto-rollback-circuit-failure-threshold,CPF_RUNTIME_CONTROL_CONTROLLER_AUTO_ROLLBACK_CIRCUIT_FAILURE_THRESHOLD,Integer,3,auto rollback 사용 시,positive,CpfRuntimeControlAutoConfiguration,platform-operations/runtime-control,대부분 필요; Runtime hot-apply payload는 별도,아니오,등록/lease/ACK/apply/reconcile 실패,ADM runtime-control/instance/ack 상태,instance registration + ACK/NACK + reconcile 정상,LKG/이전 config snapshot 또는 agent disable,cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java
