Rank,Review_ID,Priority,Area,Review Point,Acceptance Criteria,Minimum Evidence,User Mandatory,Status,Notes,basis_sha,evidence_id
591,CPF-RV-0591,P1,EDU/Sample,WebClient/Paging/Error/Security 예제 — 구현·Ownership·Consumer를 검증한다.,WebClient/Paging/Error/Security 예제: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0591
592,CPF-RV-0592,P1,EDU/Sample,WebClient/Paging/Error/Security 예제 — 정상·경계 동작를 검증한다.,WebClient/Paging/Error/Security 예제: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0592
593,CPF-RV-0593,P1,EDU/Sample,WebClient/Paging/Error/Security 예제 — 실패·부분실패·UNKNOWN를 검증한다.,WebClient/Paging/Error/Security 예제: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0593
594,CPF-RV-0594,P1,EDU/Sample,WebClient/Paging/Error/Security 예제 — 동시성·다중인스턴스·보안를 검증한다.,"WebClient/Paging/Error/Security 예제: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0594
595,CPF-RV-0595,P1,EDU/Sample,WebClient/Paging/Error/Security 예제 — Runtime·Evidence·회귀를 검증한다.,WebClient/Paging/Error/Security 예제: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0595
596,CPF-RV-0596,P1,EDU/Sample,retained ADM role/obsolete handler 정리 — 구현·Ownership·Consumer를 검증한다.,retained ADM role/obsolete handler 정리: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0596
597,CPF-RV-0597,P1,EDU/Sample,retained ADM role/obsolete handler 정리 — 정상·경계 동작를 검증한다.,retained ADM role/obsolete handler 정리: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0597
598,CPF-RV-0598,P1,EDU/Sample,retained ADM role/obsolete handler 정리 — 실패·부분실패·UNKNOWN를 검증한다.,retained ADM role/obsolete handler 정리: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0598
599,CPF-RV-0599,P1,EDU/Sample,retained ADM role/obsolete handler 정리 — 동시성·다중인스턴스·보안를 검증한다.,"retained ADM role/obsolete handler 정리: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0599
600,CPF-RV-0600,P1,EDU/Sample,retained ADM role/obsolete handler 정리 — Runtime·Evidence·회귀를 검증한다.,retained ADM role/obsolete handler 정리: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0600
601,CPF-RV-0601,P1,Generator/Generated Domain,Canonical input catalog과 duplicate detection — 구현·Ownership·Consumer를 검증한다.,Canonical input catalog과 duplicate detection: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0601
602,CPF-RV-0602,P1,Generator/Generated Domain,Canonical input catalog과 duplicate detection — 정상·경계 동작를 검증한다.,Canonical input catalog과 duplicate detection: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0602
603,CPF-RV-0603,P1,Generator/Generated Domain,Canonical input catalog과 duplicate detection — 실패·부분실패·UNKNOWN를 검증한다.,Canonical input catalog과 duplicate detection: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0603
604,CPF-RV-0604,P1,Generator/Generated Domain,Canonical input catalog과 duplicate detection — 동시성·다중인스턴스·보안를 검증한다.,"Canonical input catalog과 duplicate detection: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0604
605,CPF-RV-0605,P1,Generator/Generated Domain,Canonical input catalog과 duplicate detection — Runtime·Evidence·회귀를 검증한다.,Canonical input catalog과 duplicate detection: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0605
606,CPF-RV-0606,P1,Generator/Generated Domain,Template 재생성 deterministic 결과 — 구현·Ownership·Consumer를 검증한다.,Template 재생성 deterministic 결과: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0606
607,CPF-RV-0607,P1,Generator/Generated Domain,Template 재생성 deterministic 결과 — 정상·경계 동작를 검증한다.,Template 재생성 deterministic 결과: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0607
608,CPF-RV-0608,P1,Generator/Generated Domain,Template 재생성 deterministic 결과 — 실패·부분실패·UNKNOWN를 검증한다.,Template 재생성 deterministic 결과: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0608
609,CPF-RV-0609,P1,Generator/Generated Domain,Template 재생성 deterministic 결과 — 동시성·다중인스턴스·보안를 검증한다.,"Template 재생성 deterministic 결과: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0609
610,CPF-RV-0610,P1,Generator/Generated Domain,Template 재생성 deterministic 결과 — Runtime·Evidence·회귀를 검증한다.,Template 재생성 deterministic 결과: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0610
611,CPF-RV-0611,P1,Generator/Generated Domain,custom 영역 보존과 generated 영역 경계 — 구현·Ownership·Consumer를 검증한다.,custom 영역 보존과 generated 영역 경계: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0611
612,CPF-RV-0612,P1,Generator/Generated Domain,custom 영역 보존과 generated 영역 경계 — 정상·경계 동작를 검증한다.,custom 영역 보존과 generated 영역 경계: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0612
613,CPF-RV-0613,P1,Generator/Generated Domain,custom 영역 보존과 generated 영역 경계 — 실패·부분실패·UNKNOWN를 검증한다.,custom 영역 보존과 generated 영역 경계: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0613
614,CPF-RV-0614,P1,Generator/Generated Domain,custom 영역 보존과 generated 영역 경계 — 동시성·다중인스턴스·보안를 검증한다.,"custom 영역 보존과 generated 영역 경계: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0614
615,CPF-RV-0615,P1,Generator/Generated Domain,custom 영역 보존과 generated 영역 경계 — Runtime·Evidence·회귀를 검증한다.,custom 영역 보존과 generated 영역 경계: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0615
616,CPF-RV-0616,P1,Generator/Generated Domain,DB3/OpenAPI/Test 동시 생성 parity — 구현·Ownership·Consumer를 검증한다.,DB3/OpenAPI/Test 동시 생성 parity: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0616
617,CPF-RV-0617,P1,Generator/Generated Domain,DB3/OpenAPI/Test 동시 생성 parity — 정상·경계 동작를 검증한다.,DB3/OpenAPI/Test 동시 생성 parity: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0617
618,CPF-RV-0618,P1,Generator/Generated Domain,DB3/OpenAPI/Test 동시 생성 parity — 실패·부분실패·UNKNOWN를 검증한다.,DB3/OpenAPI/Test 동시 생성 parity: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0618
619,CPF-RV-0619,P1,Generator/Generated Domain,DB3/OpenAPI/Test 동시 생성 parity — 동시성·다중인스턴스·보안를 검증한다.,"DB3/OpenAPI/Test 동시 생성 parity: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0619
620,CPF-RV-0620,P1,Generator/Generated Domain,DB3/OpenAPI/Test 동시 생성 parity — Runtime·Evidence·회귀를 검증한다.,DB3/OpenAPI/Test 동시 생성 parity: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0620
621,CPF-RV-0621,P1,Generator/Generated Domain,Golden generated domain compile/runtime — 구현·Ownership·Consumer를 검증한다.,Golden generated domain compile/runtime: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0621
622,CPF-RV-0622,P1,Generator/Generated Domain,Golden generated domain compile/runtime — 정상·경계 동작를 검증한다.,Golden generated domain compile/runtime: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0622
623,CPF-RV-0623,P1,Generator/Generated Domain,Golden generated domain compile/runtime — 실패·부분실패·UNKNOWN를 검증한다.,Golden generated domain compile/runtime: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0623
624,CPF-RV-0624,P1,Generator/Generated Domain,Golden generated domain compile/runtime — 동시성·다중인스턴스·보안를 검증한다.,"Golden generated domain compile/runtime: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0624
625,CPF-RV-0625,P1,Generator/Generated Domain,Golden generated domain compile/runtime — Runtime·Evidence·회귀를 검증한다.,Golden generated domain compile/runtime: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0625
626,CPF-RV-0626,P0,Logging/Tracing/Observability,MDC/context propagation과 clear — 구현·Ownership·Consumer를 검증한다.,MDC/context propagation과 clear: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0626
627,CPF-RV-0627,P0,Logging/Tracing/Observability,MDC/context propagation과 clear — 정상·경계 동작를 검증한다.,MDC/context propagation과 clear: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0627
628,CPF-RV-0628,P0,Logging/Tracing/Observability,MDC/context propagation과 clear — 실패·부분실패·UNKNOWN를 검증한다.,MDC/context propagation과 clear: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0628
629,CPF-RV-0629,P0,Logging/Tracing/Observability,MDC/context propagation과 clear — 동시성·다중인스턴스·보안를 검증한다.,"MDC/context propagation과 clear: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0629
630,CPF-RV-0630,P0,Logging/Tracing/Observability,MDC/context propagation과 clear — Runtime·Evidence·회귀를 검증한다.,MDC/context propagation과 clear: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,FAIL,END_SHA에서 실제 CPF가 아닌 localhost 가짜 Target/Authority가 structured evidence를 생성해 current Gate가 Exit 0 PASS. NEW-003.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0630
631,CPF-RV-0631,P0,Logging/Tracing/Observability,trace/span/segment/transaction 관계 — 구현·Ownership·Consumer를 검증한다.,trace/span/segment/transaction 관계: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0631
632,CPF-RV-0632,P0,Logging/Tracing/Observability,trace/span/segment/transaction 관계 — 정상·경계 동작를 검증한다.,trace/span/segment/transaction 관계: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0632
633,CPF-RV-0633,P0,Logging/Tracing/Observability,trace/span/segment/transaction 관계 — 실패·부분실패·UNKNOWN를 검증한다.,trace/span/segment/transaction 관계: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0633
634,CPF-RV-0634,P0,Logging/Tracing/Observability,trace/span/segment/transaction 관계 — 동시성·다중인스턴스·보안를 검증한다.,"trace/span/segment/transaction 관계: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0634
635,CPF-RV-0635,P0,Logging/Tracing/Observability,trace/span/segment/transaction 관계 — Runtime·Evidence·회귀를 검증한다.,trace/span/segment/transaction 관계: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,FAIL,END_SHA에서 실제 CPF가 아닌 localhost 가짜 Target/Authority가 structured evidence를 생성해 current Gate가 Exit 0 PASS. NEW-003.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0635
636,CPF-RV-0636,P0,Logging/Tracing/Observability,metric cardinality와 tag 정책 — 구현·Ownership·Consumer를 검증한다.,metric cardinality와 tag 정책: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0636
