requirement_id,layer,priority,area,owner,requirement,canonical_mapping,development_status,verification_status,acceptance
QA36-GAP-005,ACTIVE_GAP,P0,Module Inventory,작업 전 리뷰에서 단일 Owner 확정,공식 Module·Included Build·Starter·Runtime·Tool별 Owner/Public/Consumer/Artifact/Test 전수 Inventory,ARCH-BOUNDARY;ARCH-LAYER,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-006,ACTIVE_GAP,P0,Public Contract,작업 전 리뷰에서 단일 Owner 확정,모든 Java Public API/SPI·Controller·OpenAPI·Message/File/DB Contract와 외부 Consumer Inventory,CORE-API;CORE-SPI;API-CONTRACT,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-007,ACTIVE_GAP,P0,Reverse Trace,작업 전 리뷰에서 단일 Owner 확정,모든 구현 파일·API·SQL·Route·Script가 Requirement·Owner·Consumer에 역추적됨,REQ-REVIEW;RULE-ARCH,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-008,ACTIVE_GAP,P0,Configuration,작업 전 리뷰에서 단일 Owner 확정,모든 Property/Profile/Env/Default/Secret/Override의 Owner·Schema·Secure Default·Drift·Rollback,CORE-CONFIG;OPS-CONFIG,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-009,ACTIVE_GAP,P0,Database,작업 전 리뷰에서 단일 Owner 확정,모든 Table/Index/FK/Seed/Query/Migration/Backup/Purge의 Owner·Consumer·3DB Lifecycle,DB-OWNERSHIP;DB-MULTI-VENDOR,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-010,ACTIVE_GAP,P0,Frontend,작업 전 리뷰에서 단일 Owner 확정,ADM/BZA Route·Menu·Component·OpenAPI·Generated Client·Permission·Interaction·3 Browser 전수 Closure,ADM-UX;TEST-BROWSER;API-CONTRACT,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-011,ACTIVE_GAP,P0,Build Publication,작업 전 리뷰에서 단일 Owner 확정,BOM·Plugin·POM·Source/Javadoc·LOCAL/REMOTE/OFFLINE 소비와 Fresh Cache CI,REL-BUILD;DEVEX-QUICK,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-012,ACTIVE_GAP,P0,Topology,작업 전 리뷰에서 단일 Owner 확정,Embedded JAR·External WAS·Local Facade·Remote·MSA·Static Frontend·Worker Topology Matrix,ARCH-MSA;CPF-CALL,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-013,ACTIVE_GAP,P0,Distributed Fault,작업 전 리뷰에서 단일 Owner 확정,Multi-instance·Lease·Fencing·Rebalance·Process Kill·Response Loss·Recovery 전수 Matrix,CPF-LOCK;TEST-FAULT,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-014,ACTIVE_GAP,P0,Security Privacy,작업 전 리뷰에서 단일 Owner 확정,Credential/PII/Session/CSRF/SSRF/Injection/Traversal/Archive/Download Negative Corpus,SEC-APP;SEC-PRIVACY,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-015,ACTIVE_GAP,P0,Documentation Truth,작업 전 리뷰에서 단일 Owner 확정,README·9개 Guide·OpenAPI·JavaDoc 명령/경로/기능을 latest Source와 자동 대조,DOC-PRODUCT,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-016,ACTIVE_GAP,P0,JavaDoc Comments,작업 전 리뷰에서 단일 Owner 확정,Public API/SPI·Service/Controller·복구/동시성/보안 Logic의 실질적 한글 JavaDoc/주석 Coverage,DEVEX-COMMENT,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-017,ACTIVE_GAP,P0,CI Required Status,작업 전 리뷰에서 단일 Owner 확정,Push/PR마다 deterministic source gate와 환경별 runtime gate를 실행하고 Required Status로 차단,REL-BUILD;TEST-EVIDENCE,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-018,ACTIVE_GAP,P0,Environment Manifest,작업 전 리뷰에서 단일 Owner 확정,Java/Gradle/Node/npm/Browser/DB/Kafka/WAS/OS/Tool version과 sanitized fixture를 Repository 정본화,TEST-EVIDENCE,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-019,ACTIVE_GAP,P0,Supply Chain,작업 전 리뷰에서 단일 Owner 확정,명시적 Final Artifact Catalog와 CycloneDX/ORT/Syft/Grype/Signature/License obligation,REL-BUILD;REL-DEPLOY,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-020,ACTIVE_GAP,P0,Hygiene,작업 전 리뷰에서 단일 Owner 확정,Root·Module 전역의 Dead Code·빈 폴더·Stale Evidence·Generated Drift·Secret 후보와 Delete Manifest,RULE-QUALITY,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-021,ACTIVE_GAP,P0,ADM Superset,작업 전 리뷰에서 단일 Owner 확정,44개 화면·87 Capability 최소선과 CPF 고급 Recovery/Approval/Fencing을 Online·Batch 통합 Workflow로 완성,ADM-UX;ADM-BATCH;ADM-TIMELINE,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-022,ACTIVE_GAP,P0,EDU Complete,작업 전 리뷰에서 단일 Owner 확정,Canonical 162와 전체 Public API/SPI를 cpf-reference 정상·오류·복구·운영 예제와 ADM/Evidence로 연결,SAMPLE-REF;SAMPLE-EDU,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-023,ACTIVE_GAP,P0,Generator Lifecycle,작업 전 리뷰에서 단일 Owner 확정,임의 Domain create→DB→build→runtime→ADM→remove→regenerate parity·사용자 영역 보호,ONBOARD-DOMAIN;DEVEX-CODEGEN,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-024,ACTIVE_GAP,P1,BZA Boundary,작업 전 리뷰에서 단일 Owner 확정,BZA 선택 기능의 조직·결재·채번·Customization과 ADM/Platform 제어 경계,BZA-BUSINESS;BZA-APPROVAL,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-025,ACTIVE_GAP,P1,Gateway Boundary,작업 전 리뷰에서 단일 Owner 확정,Gateway 선택 Runtime의 install/enable/disable/upgrade/rollback과 내부 호출 비경유,GWY-ENTRY;ARCH-MSA,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-026,ACTIVE_GAP,P0,3DB Runtime,작업 전 리뷰에서 단일 Owner 확정,MariaDB·PostgreSQL·Oracle install→upgrade→rollback→reapply→query→drift→backup/restore,DB-MULTI-VENDOR;DB-BACKUP,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-027,ACTIVE_GAP,P0,Batch Types,작업 전 리뷰에서 단일 Owner 확정,일반·Scheduled·On-demand·Center-Cut·File/Event·Remote Partition·Recovery·Migration 유형별 Runtime/ADM/EDU,BAT-CORE;CENTER-CORE,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-028,ACTIVE_GAP,P0,Notification Incident,작업 전 리뷰에서 단일 Owner 확정,Rule·Threshold·Receiver·Channel·Retry/DLQ·Escalation·Incident·Maintenance·Audit lifecycle,OPS-ALERT;OPS-INCIDENT,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-029,ACTIVE_GAP,P0,Evidence Semantics,작업 전 리뷰에서 단일 Owner 확정,Exit 0/파일 존재가 아니라 Requirement별 필수 Scenario·Artifact·Assertion을 검사하는 Verifier,TEST-EVIDENCE,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-030,ACTIVE_GAP,P0,Final GA Gate,작업 전 리뷰에서 단일 Owner 확정,Source 완료 후 사용자 Push exact SHA fresh clone에서 16개 Product Gate와 미검증 0을 확인,ARCH-MISSION;REL-BUILD;REQ-REVIEW,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
