requirement_id,priority,owner,requirement,change_target,consumer,acceptance_criteria,verification_method,evidence,regression_protection,development_status,verification_status
NXT-HEALTH-002,P0,Platform Operations,Dependency Health 안전성 — 활성 Capability만 Health에 참여한다. 대상 예: - Oracle/PostgreSQL/MariaDB - JDBC/MyBatis/JPA - Valkey - Kafka/RabbitMQ/JMS/IBM MQ - External HTTP - Object Storage - Batch/File Health 자체가 장애를 확대하지 않도록: - short timeout - concurrency limit - resource isolation - cache policy - rate protection - secret masking - normalized failure reason 을 제공한다. DB Down 상황에서 `Liveness UP / Readiness DOWN` 같은 구분을 지원한다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-HEALTH-003,P0,Platform Operations,Multi-instance Health / ADM — 실제 흐름: Instance → Health/Heartbeat → Runtime/Registry → ADM ADM에서 최소: - system - application - instance - version - build SHA - start time - uptime - last seen - liveness/readiness - degraded dependency - draining - maintenance - overall state 검색/Paging/상세/권한/오류처리를 제공한다. Public probe와 privileged diagnostic endpoint를 분리한다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-OPS-001,P1,Platform Operations,"Graceful Drain — Lifecycle: RUNNING → DRAINING → READINESS DOWN → 신규 작업 차단 → in-flight 완료/timeout → STOPPED HTTP, Batch Worker, Message Consumer별 drain semantics를 구분한다. 기존 Runtime Control과 중복 구현하지 않는다. ---",See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-JPA-001,P0,Data/Persistence,기존 Spring Data JPA Starter 재검수 — `cpf-starters/data/persistence-jpa`는 이미 존재하므로 재생성하지 않는다. 다음을 실제 Consumer까지 확인하고 부족하면 보완한다. - Spring Data JPA - Hibernate - `JpaRepository` - `PagingAndSortingRepository` - `Pageable` - Spring Data `Sort` - `Specification` - `@Query` - `EntityManager` - CPF Page/Sort Adapter - native escape - lock - transaction/XA-JTA - Audit/transactionId/Tenant/Security - N+1 guard/observation - slow query - bulk - DB3 - Generator - EDU - Golden/Generated Domain Consumer JPA 미사용 Profile에는 Hibernate/JPA Bean/Ent,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-PERSIST-001,P0,Data/Persistence,CRUD/Paging/Search Provider Parity — 다음 E2E를 JDBC/MyBatis/JPA 모두에서 검증한다. API → Controller → Service → Repository Contract → Provider → DB3 → CPF Page/Result → API → OpenAPI → Generated Client → Real Consumer 기능: - Create - Read by ID - Update - Delete - Exists - Count - Page - Slice - Cursor - Sort - Multi-sort - Search - Filter - Dynamic Condition - Bulk Insert/Update/Delete - Optimistic Lock - Pessimistic Lock - Transaction - Query timeout - Audit - transactionId - Tenant/Security - Slow Query - SQL Injection defense - Sort Field,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-SEC-001,P0,Security,OIDC/SSO 기존 구현 재검수 — 기존 `oidc-login`과 `resource-server`를 재사용한다. 최소: - OAuth2 Resource Server - JWT - OAuth2 Client - OIDC Login - SSO - Current User - Current Tenant - Role/Scope - Token propagation - Logout - Session integration - 401/403 - Audit - transactionId - Observability 특정 IdP Public API 종속 금지. Keycloak/Entra ID/Okta 등은 표준 OIDC Provider 경계로 교체 가능해야 한다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-SESSION-001,P0,Security,Valkey Distributed Session — 기존 JDBC Session은 유지한다. Multi-instance용 Optional Valkey Session Provider를 제공한다. 최소: - create/read/update/delete - expiration - renewal - rotation - session fixation defense - concurrent session control - forced logout - logout propagation - user/session index - tenant isolation - Audit - Metrics - multi-instance - provider failure semantics 미사용 시 0-footprint. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-STORE-001,P0,File/Object Storage,S3-compatible Object Storage — 기존 Attachment/Archive/SFTP를 먼저 확인하고 중복 API를 만들지 않는다. 우선 기존 Attachment abstraction을 Provider 방식으로 확장한다. 불가능할 때만 별도 Object Storage Contract를 추가한다. Public API는 AWS에 종속시키지 않는다. 최소: - put/get/delete - stream - metadata - checksum - multipart - range - content-type - presigned access - expiry - encryption - Secret/KMS - tenant isolation - retry/timeout - partial failure - orphan reconcile - retention/lifecycle - malware scan hook Provider는 S3-compatible boundary로 AWS S3/MinIO 등을 교체 가능하게 한다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-EVENT-001,P0,Messaging Governance,Event Schema / Contract Governance — 기존 Kafka/Rabbit/JMS/IBM MQ를 유지한다. 다음 Schema Contract를 Provider-neutral하게 제공한다. - JSON Schema - Avro - Protobuf - schema version - backward compatibility - forward compatibility - breaking-change gate - producer contract - consumer contract - generated model - runtime validation - schema id/content type - CI gate - Generator - EDU 특정 Schema Registry Vendor를 Public API에 노출하지 않는다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-GQL-001,P1,Web/API,GraphQL Optional Capability — GraphQL은 Optional Capability로 구현한다. REST/OpenAPI는 계속 기본 API다. Spring for GraphQL 기반을 우선한다. 실제 활용: - Browser BFF - Mobile BFF - Domain Query aggregation - client-driven field selection - ADM/BZA 복합조회 최소: - Query - Mutation - Subscription은 실제 필요 시 - Schema/version - CPF Error - CPF Paging/Cursor - Sort/Search - Validation - Authentication - Authorization - field authorization - Tenant - transactionId - Audit - Logging/Metrics/Trace - timeout/rate limit - query depth - complexity limit - request si,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-RT-001,P1,Web/API,SSE / WebSocket Realtime — Server→Browser 단방향 상태는 SSE 우선. 양방향 필요 시 WebSocket. 사용 예: - Batch progress - Transaction timeline - Runtime/Health state - Notification - Long-running operation 최소: - auth/authz - reconnect - heartbeat - duplicate control - slow consumer - backpressure - rate limit - multi-instance - graceful shutdown - fallback polling - frontend typed consumer 독립 Starter가 필요 없으면 기존 Web/Operations Capability에 흡수한다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-LOCK-001,P1,Reliability,"Valkey Lock/Lease Provider — 기존 `CpfDistributedLockPort`, JDBC lock, fencing semantics를 유지한다. Valkey Provider를 추가할 경우 단순 SETNX Wrapper 금지. 필수: - fencing token - lease - expiry - owner identity - stale owner block - process kill - network partition - multi-instance - retry/recovery - idempotency ---",See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-AI-001,P1,Integration AI,기존 AI Optional 재검수 — 기존 `cpf-starters/integration/ai`를 재사용한다. Provider-neutral Public API를 유지하며: - provider switch - timeout/retry - quota/rate - resource/token limit - masking - Security/Audit - Observability - UNKNOWN/failure mapping - 0-footprint 을 검증한다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-TESTKIT-001,P1,Test Support,공식 CPF Testkit — 기존 `CORE-TESTKIT` Requirement를 실제 제품 Test Support로 완성한다. 최소 fixture/harness: - deterministic Clock - deterministic ID - transaction context - authenticated user - tenant - HTTP - DB - Messaging - Outbox/Inbox - Saga/TCC - Batch - Object Storage - Health - GraphQL - failure injection - multi-instance - process kill - Generator smoke Testcontainers는 사용 가능하지만 단순 Wrapper가 목적이 아니다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-EXEC-001,P1,Execution Runtime,Java 25 Modern Execution — Virtual Thread 적용 가치가 있는 blocking I/O 경로를 검수한다. 지원 시 반드시 보존: - transactionId - Security Context - MDC/trace - transaction boundary - deadline - resource pool safety Virtual Thread 전용 Starter를 무조건 만들지 않는다. R2DBC/WebFlux reactive persistence는 실제 Consumer가 없으면 이번 작업에서 강제 추가하지 않는다. gRPC도 실제 consumer requirement가 없으므로 이번 작업에서는 신규 Starter를 강제하지 않는다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-DX-001,P1,Starter Architecture,모든 Starter DX 전수검수 — 각 Starter마다 다음을 직접 확인한다. - 존재 이유 - actual consumer - CPF API - OSS 직접 사용 대비 장점 - Typed Properties - Config Metadata - Safe Default - Fail-Fast - Actionable Error - Security - Audit - Masking - transactionId - Observability - Timeout/Retry/Recovery - Native Escape - Generator - EDU - Test - Optional removal / 0-footprint - Provider 교체 가능성 - 중복 Owner 여부 단순 OSS Dependency + AutoConfig만 있는 Wrapper-only Starter는 FAIL. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-GEN-001,P1,Generator,Generator 정합성 — Framework Contract/Starter가 변경되면 Generator를 같은 사이클에서 수정한다. 특히 persistence profile: - JDBC - MyBatis - JPA 선택 시 다음이 일관되게 생성되어야 한다. - Repository - Service - Controller - DTO - Validation - CRUD - Paging - Sort - Search - Test - SQL/Migration - OpenAPI - Generated Client - EDU Fixture Health/Security/GraphQL/Object Storage/Utility 역시 새 프로젝트에서 실제 사용할 수 있어야 한다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-GEN-002,P1,Generator,Golden Domain / Reference Consumer — `cpf-member`와 `cpf-reference`에서 새 Public API를 실제 소비한다. Sample/Interface 존재만으로 완료 처리하지 않는다. Public API → Runtime implementation → Real Consumer → Test/Harness → Evidence 경로를 요구한다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-FE-001,P1,ADM/BZA/OpenAPI,ADM/BZA/OpenAPI/Generated Client 영향 — Backend 계약 변경 시 반드시 확인: - OpenAPI - Generated Client - ADM - BZA - 400/401/403/404/409/429/500/503 - search/paging/detail - permission - risky operation - accessibility - responsive - realtime consumer ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-DOC-001,P0,Documentation Governance,최상위 Canonical Requirement 갱신 — Developer는 구현 후 아래 정본을 실제 최신 successor SHA 기준으로 currentize한다. 필수: - `cpf-docs/governance/CPF_FINAL_TARGET_REQUIREMENTS.md` - `cpf-docs/governance/CPF_REQUIREMENT_CONTINUITY_LEDGER.md` - `cpf-docs/governance/CPF_STARTER_ARCHITECTURE_AND_LIFECYCLE_POLICY.md` 원칙: 1. 기존 Requirement와 중복되는 것은 새 ID를 남발하지 않고 기존 Requirement를 강화한다. 2. 실제 새로운 제품 Requirement만 신규 Canonical ID를 추가한다. 3. Canonical Requirement Count를 실제 행 수와 정확히 맞춘다. 4. 이전 currentization source SHA를 최신 successor로 갱신한다. 5. Alias/Supersede/Split/,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-DOC-002,P0,Documentation Governance,Architecture / Developer / Security / Operations Guide 갱신 — 최소: - `cpf-docs/architecture/ARCHITECTURE_GUIDE.md` - `cpf-docs/development/DEVELOPER_GUIDE.md` - `cpf-docs/development/EDU_GUIDE.md` - `cpf-docs/security/SECURITY_GUIDE.md` - `cpf-docs/operations/RECOVERY_GUIDE.md` 에 다음을 실제 Source와 일치시키며 반영한다. - Core Slimming - Dependency Direction - Unified Utility - Transaction ID Ownership - Health/Instance Operations - JPA/JDBC/MyBatis - OIDC/SSO - Distributed Session - Object Storage - Event Schema - GraphQL - Realtime - Testkit - Generator - Garbage clean,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-DOC-003,P0,Documentation Governance,Current Work / Matrix / Evidence Currentization — 기존 Current-State 문서만 갱신한다. 필수: - `cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md` - `cpf-docs/work/CPF_REQUIREMENT_MATRIX.csv` - `cpf-docs/work/CPF_SCENARIO_MATRIX.csv` - `cpf-docs/work/CPF_STARTER_VALUE_CATALOG.csv` - `cpf-docs/work/CPF_SOURCE_FINDINGS.csv` - `cpf-docs/work/current/CPF_REQUIREMENT_CONTINUITY.csv` - `cpf-docs/work/current/CPF_COVERAGE_CLOSURE_MATRIX.csv` - `cpf-docs/work/current/CPF_REQUIREMENT_SOURCE_COVERAGE.csv` - `cpf-docs/work/REQUIREMENT_STATUS.csv` - `cpf-docs/work/REVIEW_INDE,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-HYG-001,P0,Repository Hygiene,Core 이동 후 Garbage 전수검사 — Core Slimming은 많은 Source relocation을 발생시킬 수 있다. 따라서 이동마다 다음을 즉시 검사한다. - old source - old test - old package - stale import - stale AutoConfiguration - stale resources - duplicate bean - duplicate catalog entry - duplicate publication - stale generator template - stale generated output - stale docs - stale SQL/config - empty directory - session workspace - temporary CSV/TXT/log - obsolete ZIP/hash/manifest - ignored build artifact - resurrected deprecated file - Duplicate relocation: `0` - Stale ,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-HYG-002,P0,Repository Hygiene,DELETE_MANIFEST 강제 — 사용자 승인 없이 실제 삭제하지 않는다. 삭제가 필요한 모든 파일은: `cpf-docs/work/CPF_DELETE_MANIFEST.csv` 에 기록한다. 필수 컬럼: - `path` - `reason` - `replacement_path` - `owner` - `requirement_id` - `protected_check` - `delete_status` 규칙: - Repository Root 상대경로 - 파일 단위 exact path - wildcard 금지 - directory 단위 삭제 금지 - protected path 차단 - replacement가 필요한 경우 replacement 존재 확인 - 중복 path `0` 보호 경로: - `cpf-docs/deliverables/**` - `cpf-docs/guides/**` - `cpf-docs/assets/manuals/**` - `cpf-docs/assets/readme/**` - `cpf-docs/specificati,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-HYG-003,P0,Repository Hygiene,사용자용 Garbage 정리 PowerShell 한 줄 — Developer 최종 결과물에는 반드시: `cpf-docs/work/CPF_DELETE_ONE_LINE.ps1.txt` 를 생성한다. 이 파일에는 **Repository Root에서 그대로 복사/실행 가능한 PowerShell 한 줄**만 둔다. 그 한 줄은 다음을 모두 수행해야 한다. 1. `git rev-parse --show-toplevel`로 Root 확인 2. `CPF_DELETE_MANIFEST.csv` 존재 확인 3. exact root-relative path만 처리 4. `..` traversal 차단 5. protected path 차단 6. replacement_path가 필요한 항목은 replacement 존재 확인 7. `Remove-Item -LiteralPath` 사용 8. 파일이 이미 없어도 실패하지 않음 9. wildcard 사용 금지 10. manifest에 없는 파일 삭제 금지 11. 삭제 결과 count 출력 12. 마지막에 `git status,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-HYG-004,P0,Repository Hygiene,Windows Path Compatibility — 새 Current 문서/Source/Package 경로는 짧게 유지한다. - 날짜/Session 중첩 directory 금지 - `_workspace/.../REV.../sessions/...` 형태 금지 - 불필요한 깊은 Package 금지 - Overlay Root-relative max path를 검산한다. - 목표: 새로 추가되는 경로는 가능한 한 160자 이하 ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
