sequence,id,source_set,area,work_package,severity,title,setup,expected,owner_module,source_or_gate_paths,checkpoint_review_status,development_status,verification_status,environment,recommended_command,required_evidence,remaining_action,completion_rule
68,CPF-QA-EXEC-107,BASE,ADM,,,Unregistered API,manifest 없는 ADM API,기본 거부,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
69,CPF-QA-EXEC-108,BASE,ADM,,,Account suspend revoke,활성 session 후 SUSPENDED,모든 instance 즉시 거부,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
70,CPF-QA-EXEC-109,BASE,ADM,,,Role change revoke,활성 session 후 role 변경,stale role 0,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
71,CPF-QA-EXEC-110,BASE,ADM,,,Password reset revoke,활성 session 후 reset,기존 session 거부,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
72,CPF-QA-EXEC-111,BASE,ADM,,,Concurrent failed login,동일 계정 N개 잘못된 요청,정확한 count·lock,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
73,CPF-QA-EXEC-112,BASE,ADM,,,Create response loss,commit 후 응답 유실·동일 operationId retry,중복 row 0,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
74,CPF-QA-EXEC-113,BASE,ADM,,,Create payload conflict,동일 operationId 다른 payload,409,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
75,CPF-QA-EXEC-114,BASE,ADM,,,Role update race,동일 expectedVersion 동시 변경,한 요청만 성공,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
76,CPF-QA-EXEC-115,BASE,ADM,,,Raw PII audit fault,audit DB down,원문 반환 0,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
77,CPF-QA-EXEC-116,BASE,ADM,,,Raw PII zeroization,modal close/route/logout/error,DOM/state/storage 원문 0,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
78,CPF-QA-EXEC-117,BASE,ADM,,,Bootstrap rerun,초기 생성 후 재실행,credential/role 변경 0,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
79,CPF-QA-EXEC-118,BASE,ADM,,,MFA bypass,고위험 API without MFA,거부,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
80,CPF-QA-EXEC-119,BASE,ADM,,,Approval self-approve,requester=approver,거부,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
81,CPF-QA-EXEC-120,BASE,ADM,,,Approval unknown,owner command response loss,SUCCESS 자동 처리 금지,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
82,CPF-QA-EXEC-121,BASE,ADM,,,Break-glass expiry,TTL 경과,자동 회수·review,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
83,CPF-QA-EXEC-122,BASE,BZA,,,Login same operation concurrent,동일 operationId 10개 동시 요청,안전한 단일 결과 의미,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
84,CPF-QA-EXEC-123,BASE,BZA,,,Login payload conflict,같은 operationId 다른 fingerprint,409,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
85,CPF-QA-EXEC-124,BASE,BZA,,,Login response loss,commit 뒤 응답 유실,result recovery·중복 session 0,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
86,CPF-QA-EXEC-125,BASE,BZA,,,Refresh response loss,old revoke/new insert 후 유실,operation result 복구,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
87,CPF-QA-EXEC-126,BASE,BZA,,,Refresh concurrent reuse,같은 token 2개 동시,1 success·reuse detection,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
88,CPF-QA-EXEC-127,BASE,BZA,,,Account state revoke,ACTIVE→SUSPENDED,access/refresh 즉시 거부,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
89,CPF-QA-EXEC-128,BASE,BZA,,,Permission change,같은 access token으로 변경 전후 호출,현재 DB 권한 반영,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
90,CPF-QA-EXEC-129,BASE,BZA,,,Failure DB down,login failure history DB fault,정상 401 위장 금지,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
91,CPF-QA-EXEC-130,BASE,BZA,,,Approval ALL,3명 모두 승인,마지막 전 완료 금지,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
92,CPF-QA-EXEC-131,BASE,BZA,,,Approval ANY,3명 중 1명 승인,terminal 정확,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
93,CPF-QA-EXEC-132,BASE,BZA,,,Approval N_OF_M,5명 중 3명 동시 승인,중복/race 정확,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
94,CPF-QA-EXEC-133,BASE,BZA,,,Delegation expiry,위임 전/중/후,유효기간 준수,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
95,CPF-QA-EXEC-134,BASE,BZA,,,Raw employee audit down,raw 조회 중 audit fault,원문 0,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
96,CPF-QA-EXEC-135,BASE,BZA,,,Browser zeroization,raw 조회 후 unmount/error,원문 0,cpf-biz-admin,cpf-biz-admin/frontend/src/components/CpfTreeNode.vue | cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue | cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue | cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue | cpf-biz-admin/src/main/java/com/cpf/bizadmin/auth/permission/BzaPermissionManifest.java,검토 완료,재귀 Tree·Action 권한 변경 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",통합 Compile·Browser E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
97,CPF-QA-EXEC-170,BASE,GEN,,,LNG create,LNG 임의 domain 생성,하드코딩 없는 표준 tree,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
98,CPF-QA-EXEC-171,BASE,GEN,,,LNG bootstrap,LNG DB bootstrap,canonical template,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
99,CPF-QA-EXEC-172,BASE,GEN,,,LNG build,LNG standalone clean test bootJar bootWar,artifact contract 성공,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,미검증,CI/Build,.\gradlew.bat clean test assemble qualityGate --no-daemon --no-build-cache,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
100,CPF-QA-EXEC-173,BASE,GEN,,,LNG runtime,LNG local/remote API 실행,header/error/idempotency/db 정상,cpf-tools/generator,cpf-tools/generator | cpf-tools/scripts/check-generated-domain-parity.ps1 | cpf-tools/scripts/check-generator-golden-path.ps1,검토 완료,기준선 Generator 검토 대상,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",이번 Overlay에 Golden Template Source 변경 미포함; 다음 세션 개발 필수,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
